question_all,,00:00:03:06,00:00:05:01,,question_all1,96,151,
question_all,,00:00:06:00,00:00:20:22,,question_all2,180,621,
question_all,,00:00:22:02,00:00:26:20,,question_all3,661,799,
question_all,,00:00:28:19,00:00:34:05,,question_all4,858,1024,
question_all,,00:00:35:00,00:00:41:12,,question_all_other1,1049,1241,
question_all,,00:00:44:01,00:00:58:23,,question_all5,1320,1761,
question_all,,00:01:01:08,00:01:15:07,,question6,1836,2255,
question_all,,00:01:17:06,00:01:57:08,,question_all7,2314,3514,
question_all,,00:02:20:23,00:02:34:09,,question_all9,4219,4624,
question_all,,00:02:35:20,00:03:28:07,,question_all10,4665,6241,
question,,00:00:03:06,00:00:04:24,,question1,96,144,
question,,00:00:06:00,00:00:10:22,,question2,180,322,
question,,00:00:22:02,00:00:24:00,,question3,661,719,
question,,00:00:28:19,00:00:32:11,,question4,858,970,
question,,00:00:35:00,00:00:36:13,,question_other1,1049,1092,
question,,00:00:44:01,00:00:57:09,,question5,1320,1717,
question,,00:01:01:08,00:01:05:06,,question6,1836,1954,
question,,00:01:17:07,00:01:21:21,,question7,2315,2449,
question,,00:02:20:23,00:02:25:24,,question9,4219,4370,
question,,00:02:35:20,00:02:46:01,,question10,4665,4976,
answer,,00:00:04:11,00:00:05:01,,answer1,131,151,
answer,,00:00:16:04,00:00:20:22,,answer2,484,621,
answer,,00:00:25:04,00:00:26:20,,answer3,753,799,
answer,,00:00:33:08,00:00:34:05,,answer4,997,1024,
answer,,00:00:37:08,00:00:41:12,,answer_other1,1117,1241,
answer,,00:00:58:01,00:00:58:23,,answer5,1739,1761,
answer,,00:01:05:18,00:01:15:07,,answer6,1966,2255,
answer,,00:01:23:06,00:01:57:08,,answer7,2494,3514,
answer,,00:02:32:21,00:02:34:09,,answer9,4576,4624,
answer,,00:02:50:16,00:03:28:07,,answer10,5111,6241,
