question_all,,00:00:11:05,00:00:13:05,00:00:01:24,question_all1,335,395,54
question_all,,00:00:13:18,00:00:25:16,00:00:11:23,question_all2 ,408,765,353
question_all,,00:00:26:08,00:00:30:13,00:00:04:05,question_all3 ,787,912,125
question_all,,00:00:32:08,00:00:35:02,00:00:02:18,question_all4_other1,967,1051,78
question_all,,00:00:36:08,00:00:55:13,00:00:19:04,question_all4 ,1087,1661,573
question_all,,00:00:57:03,00:01:04:11,00:00:07:08,question_all5 ,1711,1929,218
question_all,,00:01:06:03,00:01:15:16,00:00:09:13,question_all6 ,1981,2264,283
question_all,,00:01:17:18,00:01:51:03,00:00:33:09,question_all7 ,2326,3330,998
question_all,,00:01:52:05,00:03:07:09,00:01:15:03,question_all8 ,3362,5613,2251
question_all,,00:03:14:06,00:03:22:14,00:00:08:08,question_all9 ,5820,6068,248
question_all,,00:03:24:24,00:03:52:24,00:00:27:24,question_all10 ,6138,6977,833
question,,00:00:11:05,00:00:13:05,00:00:01:24,question1 ,335,395,54
question,,00:00:13:18,00:00:16:04,00:00:02:11,question2 ,408,484,71
question,,00:00:26:08,00:00:28:01,00:00:01:18,question3 ,787,840,48
question,,00:00:32:08,00:00:35:02,00:00:02:18,question4_other1,967,1051,78
question,,00:00:36:08,00:00:38:22,00:00:02:13,question4 ,1087,1161,73
question,,00:00:57:03,00:01:02:05,00:00:05:02,question5 ,1711,1863,152
question,,00:01:06:03,00:01:08:24,00:00:02:20,question6 ,1981,2062,80
question,,00:01:17:18,00:01:20:14,00:00:02:21,question7 ,2326,2412,81
question,,00:01:52:05,00:01:54:04,00:00:01:23,question8 ,3362,3421,53
question,,00:03:14:06,00:03:19:11,00:00:05:05,question9 ,5820,5975,155
question,,00:03:24:24,00:03:31:07,00:00:06:08,question10 ,6138,6331,188
answer,,00:00:12:24,00:00:13:04,00:00:00:05,answer1 ,384,394,5
answer,,00:00:16:24,00:00:25:16,00:00:08:16,answer2 ,504,765,256
answer,,00:00:28:00,00:00:30:13,00:00:02:12,answer3 ,839,912,72
answer,,00:00:34:19,00:00:34:23,00:00:00:03,answer4_other1,1038,1042,3
answer,,00:00:39:05,00:00:55:13,00:00:16:08,answer4 ,1174,1661,488
answer,,00:01:02:19,00:01:04:11,00:00:01:17,answer5 ,1877,1929,47
answer,,00:01:09:04,00:01:15:16,00:00:06:12,answer6 ,2072,2264,192
answer,,00:01:19:21,00:01:51:03,00:00:31:06,answer7 ,2389,3330,935
answer,,00:01:54:12,00:03:07:09,00:01:12:22,answer8  ,3429,5613,2180
answer,,00:03:20:16,00:03:22:14,00:00:01:23,answer9 ,6010,6068,53
answer,,00:03:28:16,00:03:52:24,00:00:24:08,answer10 ,6250,6977,727
