question_all,,00:00:03:03,00:00:06:12,00:00:03:08,question_all2,93,192,98
question_all,,00:00:07:14,00:00:09:24,00:00:02:10,question_all3 ,224,294,70
question_all,,00:00:11:00,00:00:14:08,00:00:03:07,question_all4 ,330,428,97
question_all,,00:00:15:08,00:00:21:19,00:00:06:10,question_all5 ,458,648,190
question_all,,00:00:22:17,00:00:30:10,00:00:07:17,question_all6 ,676,909,227
question_all,,00:00:31:12,00:00:35:07,00:00:03:19,question_all7 ,941,1056,109
question_all,,00:00:36:09,00:00:41:14,00:00:05:04,question_all8 ,1088,1243,154
question_all,,00:00:44:20,00:00:50:05,00:00:05:09,question_all9 ,1339,1504,159
question_all,,00:00:51:18,00:01:11:24,00:00:20:05,question_all10 ,1546,2152,604
question,,00:00:03:03,00:00:05:17,00:00:02:13,question2,93,167,73
question,,00:00:07:14,00:00:09:01,00:00:01:12,question3,224,271,42
question,,00:00:11:00,00:00:13:06,00:00:02:05,question4,330,396,65
question,,00:00:15:08,00:00:17:11,00:00:02:03,question5,458,520,63
question,,00:00:22:17,00:00:25:09,00:00:02:17,question6,676,758,77
question,,00:00:31:12,00:00:33:18,00:00:02:06,question7,941,1007,66
question,,00:00:36:09,00:00:38:10,00:00:02:01,question8,1088,1149,61
question,,00:00:44:20,00:00:48:19,00:00:03:23, question9,1339,1458,113
question,,00:00:51:18,00:00:57:11,00:00:05:17,question10 ,1546,1719,167
answer,,00:00:05:11,00:00:06:12,00:00:01:00,answer2,161,192,30
answer,,00:00:09:00,00:00:09:24,00:00:00:23,answer3,270,294,23
answer,,00:00:13:02,00:00:14:08,00:00:01:05,answer4,392,428,35
answer,,00:00:17:11,00:00:21:19,00:00:04:07,answer5,520,648,127
answer,,00:00:26:00,00:00:30:10,00:00:04:10,answer6,779,909,130
answer,,00:00:33:20,00:00:35:07,00:00:01:11,answer7,1009,1056,41
answer,,00:00:40:09,00:00:41:14,00:00:01:05,answer8,1208,1243,35
answer,,00:00:49:14,00:00:50:05,00:00:00:16,answer9,1483,1504,16
answer,,00:00:57:20,00:01:11:24,00:00:14:03,answer10 ,1728,2152,423
