question_all,,00:00:04:24,00:00:06:00,00:00:01:00,question_all1,144,180,30
question_all,,00:00:09:06,00:00:14:01,00:00:04:19,question_all2,276,421,139
question_all,,00:00:15:21,00:00:42:04,00:00:26:08,question_all3,471,1263,787
question_all,,00:00:45:12,00:01:11:19,00:00:26:06,question_all4,1361,2147,785
question_all,,00:01:18:21,00:01:36:02,00:00:17:05,question_all5,2359,2879,514
question_all,,00:01:40:03,00:02:03:05,00:00:23:02,question_all6,3000,3691,691
question_all,,00:02:05:04,00:02:38:01,00:00:32:21,question_all7,3750,4736,980
question_all,,00:02:44:15,00:03:00:16,00:00:16:01,question_all9,4930,5411,481
question_all,,00:03:03:09,00:03:34:19,00:00:31:09,question_all10,5494,6433,938
question_all,,00:03:35:23,00:03:38:09,00:00:02:10,question_all8,6467,6542,70
question,,00:00:04:24,00:00:05:20,00:00:00:20,question1,144,170,20
question,,00:00:09:06,00:00:11:16,00:00:02:09,question2,276,346,69
question,,00:00:15:21,00:00:17:18,00:00:01:22,question3,471,527,52
question,,00:00:45:13,00:00:48:10,00:00:02:21,question4,1362,1449,81
question,,00:01:18:21,00:01:20:21,00:00:01:24,question5,2359,2419,54
question,,00:01:40:03,00:01:43:14,00:00:03:10,question6,3000,3101,100
question,,00:02:05:04,00:02:10:04,00:00:04:24,question7,3750,3900,144
question,,00:02:44:15,00:02:49:14,00:00:04:23,question9,4930,5079,143
question,,00:03:03:09,00:03:06:17,00:00:03:07,question10,5494,5591,97
question,,00:03:35:23,00:03:37:21,00:00:01:22,question8,6467,6524,52
answer,,00:00:05:20,00:00:06:00,00:00:00:05,answer1,170,180,5
answer,,00:00:12:08,00:00:14:01,00:00:01:17,answer2,368,421,47
answer,,00:00:17:24,00:00:42:04,00:00:24:05,answer3,533,1263,724
answer,,00:00:49:13,00:01:11:19,00:00:22:06,answer4,1482,2147,665
answer,,00:01:20:15,00:01:36:02,00:00:15:11,answer5,2413,2879,461
answer,,00:01:43:14,00:02:03:05,00:00:19:16,answer6,3101,3691,585
answer,,00:02:10:10,00:02:38:01,00:00:27:15,answer7,3906,4736,824
answer,,00:02:50:15,00:03:00:16,00:00:10:01,answer9,5110,5411,301
answer,,00:03:07:07,00:03:34:19,00:00:27:11,answer10,5611,6433,820
answer,,00:03:37:20,00:03:38:09,00:00:00:13,answer8,6523,6542,13
