question_all,,00:00:05:11,00:00:09:17,00:00:04:05,question_all3 ,161,287,125
question_all,,00:00:11:02,00:00:15:11,00:00:04:08,question_all4_other ,332,461,128
question_all,,00:00:18:09,00:00:24:08,00:00:05:23,question_all5 ,548,727,173
question_all,,00:00:25:11,00:00:39:22,00:00:14:11,question_all6 ,760,1191,431
question_all,,00:00:40:12,00:00:46:05,00:00:05:17, question_all7,1211,1384,167
question_all,,00:00:47:07,00:00:51:14,00:00:04:07,question_all8 ,1416,1542,127
question_all,,00:00:54:12,00:01:07:12,00:00:12:24,question_all9 ,1630,2020,384
question_all,,00:01:10:23,00:01:34:13,00:00:23:14, question_all10,2121,2830,703
question,,00:00:05:11,00:00:07:16,00:00:02:05,question3,161,226,65
question,,00:00:11:02,00:00:13:18,00:00:02:15,question4_other ,332,408,75
question,,00:00:18:09,00:00:20:20,00:00:02:11,question5 ,548,619,71
question,,00:00:25:11,00:00:28:14,00:00:03:03,question6 ,760,853,93
question,,00:00:40:12,00:00:44:01,00:00:03:13,question7 ,1211,1320,103
question,,00:00:47:07,00:00:49:10,00:00:02:03,question8 ,1416,1479,63
question,,00:00:54:12,00:00:58:07,00:00:03:19,question9 ,1630,1745,109
question,,00:01:10:23,00:01:17:22,00:00:06:23,question10 ,2121,2330,203
answer,,00:00:08:09,00:00:09:17,00:00:01:08,answer3,249,287,38
answer,,00:00:14:08,00:00:15:11,00:00:01:02,answer4_other ,428,461,32
answer,,00:00:21:15,00:00:24:08,00:00:02:17,answer5 ,644,727,77
answer,,00:00:28:23,00:00:39:22,00:00:10:23,answer6 ,862,1191,323
answer,,00:00:44:12,00:00:46:05,00:00:01:17,answer7 ,1331,1384,47
answer,,00:00:49:24,00:00:51:14,00:00:01:15,answer8 ,1493,1542,45
answer,,00:01:01:24,00:01:07:12,00:00:05:12,answer9 ,1852,2020,162
answer,,00:01:20:03,00:01:34:13,00:00:14:09,answer10 ,2401,2830,429
